candidate,dataset,subject,edge_index,dense_samples,dense_length_mm,chord_length_mm,relative_length_error,mean_approximation_error_mm,max_approximation_error_mm,median_radius_mm,max_error_over_median_radius,containment_fraction
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1328,4,1.6844197554397473,1.6844184054672173,8.014466261305376e-07,0.00025127947597839974,0.0005025589519567995,0.6629125652155398,0.0007581074463317755,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1329,11,7.611560766914472,7.486316665494696,0.016454457272965677,0.179043016400184,0.30094511572072485,0.9272144054283292,0.3245690683393799,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1330,3,1.3777401782376835,1.3747012897974202,0.002205705029340425,0.015239514287007386,0.04571854286102216,0.800000011920929,0.057148177724703486,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1331,6,2.7294503900166855,2.6899756989544823,0.0144625054210866,0.10762297706619435,0.20202366383540088,0.7314562885682343,0.2761937616680357,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1332,10,5.2525130182950175,5.196484839447066,0.010666928126174927,0.1794802946797756,0.31808092281176326,0.7314562885682343,0.43485978285097604,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1333,4,1.5978604161907415,1.5904525375563097,0.004636123756098804,0.030693283572561875,0.06792315172174082,0.8636072086746291,0.07865051500204812,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1334,7,3.137350031077275,3.10106035490176,0.011566983542175665,0.11182443322600591,0.1913422838389636,0.6629125652155398,0.2886387947356986,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1335,8,4.521253303700209,4.493050571083038,0.006237812996252512,0.12390552106498738,0.2268657994213827,0.7314562885682343,0.3101563319189639,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1336,4,2.1201875329102693,2.099343298731391,0.009831316265814748,0.06053230584668477,0.12345877899626008,0.7314562885682343,0.1687849033848906,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1337,2,0.7920410966000062,0.7920410966000062,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1338,4,1.3316470968861565,1.3071560125953825,0.018391572623138997,0.05196401204688404,0.10464435016463706,0.7314562885682343,0.14306302618502303,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1339,10,4.5253232857771195,4.466676139533144,0.012959769399967725,0.13908046381284525,0.20380307740999162,0.7314562885682343,0.27862646147853815,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1340,5,1.8813859289422536,1.8210388651249856,0.03207585582996052,0.1049589622318238,0.20950405123549695,0.6629125652155398,0.3160357220976475,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1341,4,1.6051072483366609,1.5923063880215984,0.00797508099743971,0.0405657085302114,0.08653849078660734,0.4687499701976776,0.18461545874896376,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1342,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.5658312677066086,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1343,2,0.872119327299296,0.872119327299296,0.0,0.0,0.0,0.5658312677066086,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1344,2,0.8669370795535861,0.8669370795535861,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1345,4,2.346527061611477,2.3360403818483877,0.00446902144648075,0.04462265199020272,0.09356726505811147,0.5658312677066086,0.16536248595336975,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1346,6,2.820893496899747,2.770777814597389,0.017765889551461914,0.11491016292835553,0.2204758380104666,0.4687499701976776,0.47034848432628007,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1347,4,1.3889662103590121,1.3019770388054945,0.06262871688652032,0.0987093406725393,0.1994676097527738,0.4687499701976776,0.4255309278604452,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1348,6,3.0852728995879697,3.0562806101440794,0.009396993519685783,0.08962599421013547,0.16648895492351326,0.4687499701976776,0.3551764597516728,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1349,2,0.8226270181163075,0.8226270181163075,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1350,3,1.3399189488829597,1.3398280014792612,6.787530228925145e-05,0.002601893970911777,0.007805681912735331,0.4687499701976776,0.016652122472548807,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1351,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1352,3,0.9374999403953552,0.9374999403953552,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1353,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1354,2,0.9272144054283292,0.9272144054283292,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1355,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.6343749910593033,0.0,1.0
